epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.62,1.6439,2.68777,1.36527,0.011,0.39768,0.2046,0.12182,1.43857,3.18901,1.09933,0.000463459,0.000463459,0.000463459
2,1101.4,1.32187,1.46795,1.08048,0.98386,0.08964,0.2923,0.17848,1.36444,2.80295,1.11316,0.000893273,0.000893273,0.000893273
3,1637.33,1.29449,1.27504,1.07557,0.49451,0.36262,0.46149,0.27046,1.32607,1.82919,1.06544,0.00127593,0.00127593,0.00127593
4,2176.58,1.25448,1.18438,1.06476,0.61181,0.5062,0.5293,0.326,1.27179,1.56146,1.05807,0.00121679,0.00121679,0.00121679
5,2713.17,1.18083,1.07386,1.03951,0.64075,0.55559,0.58261,0.36001,1.2737,1.26351,1.06728,0.00114606,0.00114606,0.00114606
6,3250.56,1.20021,1.02346,1.03587,0.673,0.53698,0.6065,0.37329,1.27487,1.19416,1.05967,0.00107532,0.00107532,0.00107532
7,3791.48,1.16569,0.9464,1.01096,0.63568,0.53604,0.59111,0.36824,1.22355,1.08007,1.03732,0.00100459,0.00100459,0.00100459
8,4331.97,1.14812,0.90339,1.0193,0.72042,0.58229,0.65086,0.40761,1.22593,1.31523,1.06783,0.000933851,0.000933851,0.000933851
9,4870.66,1.12702,0.86207,1.00787,0.71804,0.65515,0.69204,0.426,1.26873,1.00182,1.07739,0.000863116,0.000863116,0.000863116
10,5398.07,1.10827,0.85895,1.01009,0.68397,0.65236,0.69524,0.44326,1.16111,0.89136,1.02086,0.00079238,0.00079238,0.00079238
11,5936.76,1.08935,0.89753,1.00491,0.8951,0.52772,0.66728,0.42514,1.23388,1.09067,1.05527,0.000721645,0.000721645,0.000721645
12,6462.77,1.06574,0.82496,0.99168,0.75247,0.65634,0.70627,0.44129,1.22712,0.92077,1.04499,0.000650909,0.000650909,0.000650909
13,6989.98,1.0689,0.77381,0.99497,0.81608,0.63303,0.75253,0.45494,1.2238,0.94944,1.04623,0.000580174,0.000580174,0.000580174
